unspsc,root_domain,page_url,product_title,product_summary,product_name,product_identifier,brand,intended_industries,applicability,eco_friendly,ethical_and_sustainability_practices,production_capacity,price,materials,ingredients,manufacturing_countries,manufacturing_year,manufacturing_type,customization,packaging_type,form,size,color,purity,energy_efficiency,pressure_rating,power_rating,quality_standards_and_certifications,miscellaneous_features,description
Abrasive wheels,kingdomabrasive.com.tw,https://www.hansuperabrasive.com/hans-super-abrasive-diamond-tool-co-ltd.html,https://www.hansuperabrasive.com/hans-super-abrasive-diamond-tool-co-ltd.html,"TRICRAFT Chop Saw Cutting Wheels are designed for fast and long-lasting cutting performance. These cutting wheels are available in various sizes and specifications to cater to different cutting needs. The wheel sizes range from 305 mm to 4400 mm in diameter, with thicknesses varying from 2.4 inches to 5.10 inches (16.3 mm to 128.6 mm). The RPM (revolutions per minute) for these wheels ranges from 25 to 4400, providing flexibility for different cutting speeds. The grit sizes available include 30, 50, and 70, ensuring a range of abrasive options for various applications. The arbor hole sizes are 3/32 and 7/64, accommodating different spindle sizes. These cutting wheels are packaged in cartons, ensuring safe and convenient transportation and storage. The manufacturing process adheres to high-quality standards, ensuring durability and efficiency. The product is produced in Hebei Province, China, and is recognized for its superior quality and competitive pricing.",Reinforced Grinding and Cutting-off Wheels,[{'Name': 'None'}],Huazuan Diamond Tools,['ConstructionAutomotiveOil Shipping'],['Cutting Through StoneCutting Through ConcreteCutting Through CeramicCutting Through PorcelainCutting Through TileCutting Through Masonry'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Stainless Steel'],[None],['CN'],-1,[None],['Various types of grinding wheels available'],['Cartons'],[None],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '305'}
 {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '4400'}
 {'dimension': 'Thickness', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '16.3'}
 {'dimension': 'Thickness', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '128.6'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],"['Manufactured by Saburrtooth ProductsBased in Clinton Township, MI']","The ""7\"" Disc Wheel Flat Face (Medium Grit)"" manufactured by Saburrtooth Products is designed for woodworking applications, including power carving, chip carving, and relief carving. This disc wheel features a flat face design and medium grit, making it suitable for various carving tasks and providing a smooth surface for cutting. It is engineered to meet the needs of woodworking professionals, ensuring reliability and effectiveness in achieving intricate and detailed designs."
Abrasives and abrasive media,farmclearingsales.net.au,https://www.darbydental.com/scripts/productListView.aspx?Promotions=T&filter=Subcategory&filterval=Premier%20Solo%20Diamonds&term=&Category=Diamonds,https://www.darbydental.com/scripts/productListView.aspx?Promotions=T&filter=Subcategory&filterval=Premier%20Solo%20Diamonds&term=&Category=Diamonds,"The Dynabrade 56156 6"" (152mm) Dia. Vacuum Disc Pad, Hook-Face, Short Nap is a high-quality backing pad designed for use with Dynabrade tools. This vacuum disc pad is specifically engineered to provide consistent and smooth performance, ensuring optimal vacuum capabilities for various applications. The pad features an exclusive single-piece hub design that significantly reduces vibration, contributing to a more stable and efficient sanding experience. It is perfectly weight-mated to Dynabrade tools, allowing for consistent swirl-free finishes. The pad is equipped with precise holes that ensure proper alignment with abrasive discs, enhancing its functionality and performance. This short nap pad is suitable for use with reattachable discs, while the long nap pad is ideal for non-woven nylon discs. The Dynabrade 56156 pad is categorized under backing pads and is compatible with models such as 56829, 56830, 56862, 56863, 56893, 56894, 58406, 58409, 58419, 58420, 58436, 59013, 59014, 59028, 59029, 59043, 59044, 69013, 69014, 69025, 69028, and 69029. The pad is designed for self-generated vacuum systems and central vacuum systems, making it versatile for various industrial applications. The pad has a thickness of 3/8"" (10mm) and features a 5/16""-24 male thread for secure mounting. It is also equipped with 6 holes, which are precisely located to achieve proper alignment with abrasive discs. The pad is made from soft density material, which is ideal for use in self-generated vacuum systems. The item weight is 0.13 kg, and it is packaged in the same weight category. The Dynabrade 56156 vacuum disc pad is priced at £59.49 plus VAT and is identified by the GTIN 0616026561564. This product is an essential accessory for anyone looking to enhance the performance of their Dynabrade tools with reliable and efficient backing pads.",Leather Finishing Patinato Brush Fickert Abrasive,['SKU: FB825VEL EB36 150#Part_Number: A104357'],Xingguang Abrasives Materials Factory,['AutomotiveMarineAerospaceWind EnergyWoodworking'],['drywall sandingfeathering of joint compoundsspacklingscuff sanding painted walls'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['WireNylon 610Silicon CarbidePlastic'],[None],['IT'],-1,[None],['Available in various types and materials'],['Boxes'],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '2.875'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '4.875'}
 {'dimension': 'Thickness', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1'}]","[{'original': 'Blue', 'simple': 'Blue'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Anti-loading stated topcoatOpen coat of aluminum oxide grainResinoid bondingDesigned to reduce dust with a vacuum dust extraction system'],"The ""Coated Abrasive Sheets"" manufactured by Dynabrade are high-performance abrasive discs designed for surface finishing on materials such as wood, metal, and composite. These discs feature a P180 grit size and a 4+4 hole design, and are coated with aluminum oxide for excellent performance and durability. They are particularly suitable for grinding new generation water-based lacquers and are designed to reduce dust with a vacuum dust extraction system, making them safe and work-friendly. These discs are used in industries like automotive, aerospace, and woodworking."
Absorbents,yg-int.com,http://www.yg-int.com/Manufacturerdetail/Guardian,http://www.yg-int.com/Manufacturerdetail/Guardian,"Safety products including absorbents, trays, and cleaners.","Safety - Absorbents, Trays and Cleaners",[{'Name': 'None'}],None,['Safety'],[None],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"""Safety - Absorbents, Trays and Cleaners"" are products designed for safety and hygiene in various settings, including industrial and commercial environments."
Acceleration and vibration measuring instruments,michiganaerospace.com,https://evelta.com/bno055-9-axis-absolute-orientation-sensor/,https://evelta.com/bno055-9-axis-absolute-orientation-sensor/,"The DTM10 Proximity Distributed Transmitter Monitor is a sophisticated device designed for monitoring machine vibration using proximity probes and a Modbus interface to a PLC or DCS system. This advanced machinery protection and condition monitoring system is ideal for applications requiring precise and reliable vibration monitoring. The DTM10 features a robust construction with redundant power supplies and redundant 4-20mA transmissions, ensuring minimal downtime and high reliability. It is equipped with a variety of modules, including a Vibration Monitor Module, Thrust Position Monitor Module, Speed Monitor Module, and Phase Reference Monitor Module, all of which are fully configurable via software. The DTM10 operates with a power supply range of 22-30VDC, 150mA, and includes galvanic isolation for enhanced safety. The frequency response ranges from 4 to 3.0KHz for low frequencies and 0.5 to 100Hz, with a nominal frequency response of 4 to 3.0KHz. The sensitivity varies depending on the probe size: 8 mV/um (200 mv/mil) for 5mm and 8mm probes, 4 mv/um (100 mv/mil) for 11mm probes, and 2mv/um (50 mv/mil) for 25mm probes. The buffered output is original, un-filtered, with an impedance of 150Ω and a maximum cable distance of 300m (1000ft). The device supports local BNC connections and terminal blocks, with options for S0 and S1 sources, and S2 and S3 passive, galvanic isolation, 1000VDC options. The power supply range is 22-30VDC, and it features dual 4-20mA outputs, sourced with no loop power required. The maximum load resistance is 380Ω, and the alarm setup ranges from 0 to 100% FS with an accuracy of ±0.1%. The delay settings are adjustable from 1 to 60 seconds, with a default of 3 seconds for speed monitors without delay. The relay system includes an epoxy seal, with capacities of 0.2A/240VAC, 0.4A/110VAC, or 2.0A/24VDC, and resistive load. The relay type is SPTD, with isolation of 1000VDC. The LED machine condition indicator provides clear status updates: OK for system OK, ALERT for vibration over, DANGER for vibration over, BYPASS for system in BYPASS, and TRX for digital transmission active. The reset/bypass feature allows for trip multiply and short trip/multi terminal to COM terminal configurations, with system alarm levels increasing by a factor of 2 or 3 for DTM10-201/301 models. The Modbus communication is RS485 Modbus RTU, not isolated, and local push button programming is available for alert and danger set-point, ZERO calibration, and software programming (DTM-CFG). The physical dimensions of the DTM10 are 75mm (2.95″) in height, and it weighs 0.9lb (0.4kg). The device operates within a temperature range of -40℃ to +85℃, with storage conditions of -50℃ to +100℃ and humidity of 90% non-condensing. The case is made of aluminum, ensuring durability and reliability. The DTM10 Proximity Distributed Transmitter Monitor is a versatile and reliable solution for various vibration monitoring applications, offering high precision, flexibility, and ease of use.",Digital Matter Motion Sensors - Accelerometers,['SKU: 135-BNO055Part_Number: BNO055'],Michigan Aerospace,['Geological ResearchEarth SciencesSpace ExplorationHomeland SecurityBuilding SafetyVehicle Safety'],['Geological ResearchEarth SciencesSpace ExplorationHomeland SecurityBuilding SafetyVehicle Safety'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Aluminum'],[None],[None],-1,[None],[None],['System in Package (SiP)'],[None],"[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '75'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'low'}]",[None],['Robust constructionRedundant power suppliesRedundant 4-20mA transmissionsGalvanic isolationDual 4-20mA outputsEpoxy sealResistive loadRelay type: SPTDAlarm setup: 0 to 100% FSDelay settings: 1 to 60 secondsReset/bypass featureLocal push button programming'],"The ""9-Axis Absolute Orientation Sensor"" by Bosch Sensortec is a sophisticated System in Package (SiP) solution designed to provide comprehensive 9-axis absolute orientation data. It integrates a triaxial 14-bit accelerometer, an accurate close-loop triaxial 16-bit gyroscope, a triaxial geomagnetic sensor, and a 32-bit microcontroller running the BSX3.0 FusionLib software. This sensor is suitable for applications requiring context awareness, such as augmented reality, immersive gaming, personal health and fitness, indoor navigation, and other demanding tasks. It features various operation modes and is designed to be smaller and easier to integrate than comparable solutions."
Account based credit products,perimeter-solutions.com,https://ir.perimeter-solutions.com/sec-filings/all-sec-filings/xbrl_doc_only/433,https://ir.perimeter-solutions.com/sec-filings/all-sec-filings/xbrl_doc_only/433,Other prepaid expenses as part of prepaid expenses and other current assets.,Prepaid Expenses,[{'Name': 'None'}],None,['Tax Reporting'],[None],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"""Prepaid Expenses"" are part of prepaid expenses and other current assets, indicating transactions that have been prepaid and are classified as current assets."
Acoustical or noise control housings or enclosures,soundproofing-direct.co.uk,https://www.sonicator.com/collections/q2000-sound-enclosure/products/sound-enclosure-for-q2000,https://www.sonicator.com/collections/q2000-sound-enclosure/products/sound-enclosure-for-q2000,"The Sound Enclosure for the Q2000 Sonicator is designed to protect both the user and anyone nearby by reducing the noise levels produced by the Q2000 system, which can exceed 100dB. This enclosure is essential for ensuring hearing protection in environments where sound levels are critical. The product is available in two models: Part #4474 is intended for use with a Q2000 system and probe, while Part #4475 is suitable for use with a Flocell. Both models feature ports on either side for coolant tubing or temperature monitoring probes, enhancing their versatility. The interior walls of the enclosure are lined with water-resistant acoustical foam, providing a durable and effective noise reduction solution. The exterior dimensions for Part #4474 are 17.75 inches in length, 18 inches in width, and 38 inches in height (451 x 458 x 966 mm), while the interior dimensions are 16 inches in length, 16 inches in width, and 35.5 inches in height (407 x 407 x 902 mm). The exterior dimensions for Part #4475 are 14.5 inches in length, 17 inches in width, and 32 inches in height (305 x 356 x 724 mm). The enclosure is priced at $1,400.00 and does not include stands, which are sold separately. This product is designed to be user-friendly and efficient, making it an ideal choice for environments where sound protection is paramount.",Acoustical Weather Enclosures,[{'Name': 'None'}],None,['HealthcareManufacturing'],['protecting blowers from environmental factors'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '17.75'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '18'}
 {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '38'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Ports on either side for coolant tubing or temperature monitoring probesWater-resistant acoustical foam lining'],"The ""Sound Enclosure"" is designed to protect users and nearby individuals from the high noise levels of the Q2000 Sonicator, ensuring critical hearing protection. It features ports for coolant tubing or temperature monitoring probes and is lined with water-resistant acoustical foam for effective noise reduction. This product is essential for environments where sound levels are critical, offering a user-friendly and efficient solution for noise protection."
Actuators,position1performance.com,https://position1performance.com/collections/2011-2016-6-7l-powerstroke-turbos-components/products/oe-garrett-gt37-replacement-vgt-actuator,https://position1performance.com/collections/2011-2016-6-7l-powerstroke-turbos-components/products/oe-garrett-gt37-replacement-vgt-actuator,"The OE Garrett GT37 Replacement VGT Actuator by Position 1 Performance is a genuine replacement part designed specifically for various powertrain applications. This actuator is compatible with a wide range of vehicles, including the 6.0L Powerstroke models from 2011 to 2016, the 6.7L Powerstroke models from 2015 to 2019, and the 6.6L Duramax models from 2004.5 to 2016. It also fits many other vehicle brands such as GM, FORD, CAT, ISUZU, and NAVISTAR. The product includes o-rings and hardware, ensuring a complete and ready-to-install solution. It is a brand new, not remanufactured part, guaranteeing its original performance and reliability. The actuator is identified by several cross-references, including 12642646, 1838525C1, 1841228C91, 1855648C1, 1855683C91, 1876070C91, 3C3Z6F089AA, 3C3Z-6F089-AA, 5C3Z6F089A, 5C3Z-6F089-A, 5C3Z6F089AA, 5C3Z6F089B, 5C3Z6F089BA, 711122-0008, 711122-0016, 726473-0001, 726473-0002, 726473-0003, 7925930001, 792593-0001, 97376382, 97387888, 98061571, AP91000, BC3Z6F089A, BC3Z-6F089-A, FC3Z6F089A, and FC3Z-6F089-A. The actuator is priced at $180.18 and can be purchased through various payment options, including PayPal. This product is designed to meet the high standards of performance and reliability expected from OE Garrett parts, ensuring optimal functionality and longevity for the specified vehicle models.",Rotary Air Damper Actuator,['Part_Number: 562 954 54'],Krishna Machine Tools Corporation,['Manufacturing'],['powertrain applications'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,['Turnkey'],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Unique model name: XRFEngineered for precise motion controlSuitable for integration into heat press machines'],"The ""VGT Actuator"" by Position 1 Performance is a genuine replacement part designed for various powertrain applications. It is compatible with 6.0L Powerstroke models from 2011 to 2016, 6.7L Powerstroke models from 2015 to 2019, and 6.6L Duramax models from 2004.5 to 2016, among others. This actuator includes o-rings and hardware, ensuring a complete and ready-to-install solution. It is a brand new, not remanufactured part, guaranteeing its original performance and reliability."
Acute care monitoring units and related products,sageservicesgroup.com,https://bid.centurionservice.com/lot-details/index/catalog/573/lot/764143/SOMANETICS-INVOS-CEREBAL-OXIMETER-PATIENT-MONITOR?url=%2Fauctions%2Fcatalog%2Fid%2F573%3Fpage%3D7%26cat%3D13%26view%3Dgrid,https://bid.centurionservice.com/lot-details/index/catalog/573/lot/764143/SOMANETICS-INVOS-CEREBAL-OXIMETER-PATIENT-MONITOR?url=%2Fauctions%2Fcatalog%2Fid%2F573%3Fpage%3D7%26cat%3D13%26view%3Dgrid,"The PHILIPS INTELLIVUE X2 PATIENT MONITOR is a sophisticated medical device designed for patient monitoring applications. This product falls under the category of Patient Monitoring equipment and is specifically engineered to provide accurate and reliable data to healthcare professionals. The PHILIPS INTELLIVUE X2 is known for its advanced features and high performance, making it a valuable tool in medical settings. It is suitable for use in various clinical environments, including hospitals, clinics, and other healthcare facilities. The device is manufactured by PHILIPS, a reputable brand in the medical equipment industry, ensuring quality and reliability. The PHILIPS INTELLIVUE X2 PATIENT MONITOR is designed to meet stringent quality standards and certifications, ensuring it performs well under various clinical conditions. It is an essential piece of equipment for monitoring vital signs such as blood pressure, heart rate, and respiratory rate, providing critical data to support patient care and management. The device is user-friendly, with intuitive interfaces and easy-to-read displays, making it accessible for both medical professionals and patients. It is also designed with ease of maintenance and repair in mind, featuring components that are easy to replace and service. The PHILIPS INTELLIVUE X2 PATIENT MONITOR is available for purchase through a timed auction, and potential buyers must meet specific conditions to participate, including having a valid credit card and a valid government-issued identification. The device is sold ""as is"" and ""where is,"" with no warranty or guarantee provided by the seller. Buyers are responsible for any necessary de-installing, packaging, loading, and removal of the equipment. The auction process includes a deposit requirement of $2,000, which is held for a minimum of ten business days before being applied to the purchase price. The device is subject to various taxes and fees, including a buyer's premium and administrative expenses. The PHILIPS INTELLIVUE X2 PATIENT MONITOR is a critical asset for any healthcare facility looking to enhance patient monitoring capabilities with a reliable and high-performance device.",Patient Monitor on Rolling Stand,[{'Name': 'None'}],Sage Patient Monitoring Solutions,['Healthcare'],['Patient MonitoringMedical Diagnostics'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],['US'],-1,[None],['Customizable patient monitoring applications'],[None],[None],"[{'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '10'}
 {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '30'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],"[""Auction Date: August 9, 2024Auction Time: August 15, 2024Sold 'as is' and 'where is'No warranty or guarantee providedCompliance with U.S. and local laws required for export""]","""Medical Sensors and Devices"" is a comprehensive range of medical sensors and devices designed for clinical applications in hospitals, clinics, and other healthcare facilities. Manufactured by Venni, these products include a variety of sensors and connectors suitable for adult, pediatric, neonate, and veterinary use. The collection features digital and BCI models, patient connectors, and sensors compatible with brands like Philips, Smiths Medical, Biolight, and Mindray. The range also includes direct-connect ECG cables and SpO2 sensors, ensuring broad applicability and reliability in medical diagnostics."
Adhesives,tech-tire-products-nz-ltd.myshopify.com,https://bladedepotstore.com/products/integra-surface-bonder-ultra-epoxy-modified-methacrylate-adhesive-for-quartz-natural-stone-ceramic-and-more?pr_prod_strat=e5_desc&pr_rec_id=cfb41094d&pr_rec_pid=6567947239483&pr_ref_pid=6567943241787&pr_seq=uniform,https://bladedepotstore.com/products/integra-surface-bonder-ultra-epoxy-modified-methacrylate-adhesive-for-quartz-natural-stone-ceramic-and-more?pr_prod_strat=e5_desc&pr_rec_id=cfb41094d&pr_rec_pid=6567947239483&pr_ref_pid=6567943241787&pr_seq=uniform,"The HIGH-TEMPERATURE FLEXIBLE SILVER/GRAPHENE CONDUCTIVE EPOXY G6E-HFSG is a specialized adhesive designed for high-performance bonding and connection of electrically conductive components and materials that operate at elevated temperatures. This two-component adhesive is both flexible and highly conductive, making it ideal for dissimilar materials subjected to vibrations, temperature variations, shock, bending, and mechanical stress. The adhesive is formulated using a proprietary mix of silver and graphene materials, which enhances its flexibility, low electrical resistivity, and durability. The product is non-magnetic and exhibits superior crack resistance due to the graphene fillers. It operates effectively within a temperature range of up to 260°C (500°F) and has a flexible, rubbery texture after curing. The typical applications of this epoxy include electronics operated or exposed to high temperatures, wearable electronics, medical sensors, fiber-optics packaging, and flexible electronics, wiring, and harnesses. The product is available in various sizes, including 30g (20g + 10g), 60g (40g + 20g), and 120g (80g + 40g), and is priced at €85.95. The adhesive is silver in color and has a pot life of 4-6 hours. The mixed viscosity ranges from 270 to 300 Pa·s at 25°C (77°F), and the hardness is less than 90A. The density of Part A is 2.7 to 2.9 g/cm³, and Part B is 3.6 to 3.8 g/cm³. The volume resistivity is less than 3x10-4 Ω·cm at 150°C curing temperature. The product should be stored and shipped at room temperature, with no freezing required, and has a shelf life of 6 months when stored in unopened, unmixed containers at 25°C (77°F). The mixing instructions recommend stirring both components before use and mixing Part B to Part A slowly in a separate container. Safety precautions include reading the Safety Data Sheet (SDS) for both Part A and Part B, using the product with adequate ventilation, and avoiding prolonged contact with skin and breathing of vapors. The product is packaged in individual jars, with options for various packaging according to customer needs. Payment methods accepted include PayPal and other secure options such as Apple Pay, Visa, Mastercard, Amex, Google Pay, and PayPal.","UV Adhesives, Light-Curing Equipment, and Dispensing Systems",['Product_Code: OP-4-20762-SV02'],Dymax Corporation,['Home ImprovementConstructionHVAC'],['Bonding and connection of electrically conductive components and materials at elevated temperatures'],False,['meet the E1 formaldehyde standardsCVI Green productsextremely low in emissionsISO 9001:2015 standard'],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['SilverGraphene'],[None],['IN'],-1,[None],['Designed for various applications requiring this specific type of mounting'],['Various packaging types'],['Liquid'],"[{'dimension': 'Weight', 'qualitative': False, 'type': 'min', 'unit': 'g', 'value': '30'}
 {'dimension': 'Weight', 'qualitative': False, 'type': 'max', 'unit': 'g', 'value': '120'}]","[{'original': 'Transparent White', 'simple': 'White'}
 {'original': 'Glacier White', 'simple': 'White'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['E1CVI GreenISO 9001:2015'],"['Pot Life: 4-6 hoursMixed Viscosity: 270 to 300 Pa·s at 25°CHardness: Less than 90ADensity of Part A: 2.7 to 2.9 g/cm³Density of Part B: 3.6 to 3.8 g/cm³Shelf Life: 6 monthsSafety Precautions: Read SDS, use with adequate ventilation, avoid prolonged contact with skin and breathing of vapors']","The ""High-Temperature Flexible Silver/Graphene Conductive Epoxy"" is a specialized adhesive designed for high-performance bonding and connection of electrically conductive components and materials that operate at elevated temperatures. It is both flexible and highly conductive, making it ideal for dissimilar materials subjected to vibrations, temperature variations, shock, bending, and mechanical stress. This adhesive is formulated using a proprietary mix of silver and graphene materials, enhancing its flexibility, low electrical resistivity, and durability. It is suitable for applications in electronics, wearable electronics, medical sensors, fiber-optics packaging, and flexible electronics."
Adsorption and ion exchange,crestchauffuerservices.com,https://www.lhoist.com/en-US/market/flue-gas-treatment/application/furnace-sorbent-injection-fsi,https://www.lhoist.com/en-US/market/flue-gas-treatment/application/furnace-sorbent-injection-fsi,"Molecular Sieve 4A is a specialized product made from 4A zeolite powder combined with attapulgite clay, resulting in a sodium form of type A zeolite crystal structure. This product features an effective pore opening of approximately 4 angstroms (0.4 nm), making it highly effective in adsorbing molecules with a kinetic diameter of less than 4 angstroms. It is particularly adept at adsorbing simple gas molecules such as oxygen, nitrogen, carbon dioxide, and straight-chain hydrocarbons, while excluding branched-chain hydrocarbons and aromatics. The product is known for its high mass transfer efficiency, high mechanical strength, and durability. It is widely used for drying and removing CO2 from natural gas, LPG, and air. Additionally, it is effective in the removal of hydrocarbons, ammonia, and methanol from gas streams, and in the dehydration of refrigerants and air in air break units of buses, trucks, and locomotives. Molecular Sieve 4A can also be packed in small bags for use as a desiccant for foods, electronics elements, and drugs. The product is manufactured by Luoyang Jalon and is available in various sizes and forms, including beads and pellets. The beads are available in sizes of 8X12 mm (1.6-2.5 mm) and 4X8 mm (3.0-5.0 mm), while the pellets are available in sizes of 1/16 mm (1.5-1.7 mm) and 1/8 mm (3.0-3.2 mm). For optimal storage, it is recommended to keep the molecular sieve in an airtight container to prevent moisture adsorption. The product can be regenerated or activated using thermal regeneration methods such as Thermal Swing Adsorption (TSA) or pressure swing processes (PSA). A properly regenerated or activated molecular sieve can achieve moisture dew points below -100°C, depending on the gas present and the process conditions. The product is manufactured in Henan, China, and is available for long-term supply. The price is negotiable, and the delivery terms are flexible, with payment due upon delivery.",Furnace Sorbent Injection Technology,[{'Name': 'None'}],Luoyang Jalon,['EnvironmentalIndustrial'],"['adsorbing moleculesdrying and removing CO2 from natural gas, LPG, and airremoval of hydrocarbons, ammonia, and methanol from gas streamsdehydration of refrigerants and air in air break units of buses, trucks, and locomotivesdesiccant for foods, electronics elements, and drugs']",False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],['CN'],-1,['Custom-Built'],['Tailor-made to meet specific customer needs'],[None],['Solid'],"[{'dimension': 'Length', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '8'}
 {'dimension': 'Length', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '12'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['High reaction temperatureAbsence of competitive reactions with CO2Increases melting temperature of boiler ashAnti-slagging and antifouling properties'],"""Molecular Sieve 4A"" manufactured by Luoyang Jalon is a specialized product combining 4A zeolite powder with attapulgite clay, designed for effective molecule adsorption. It features a pore opening of approximately 4 angstroms, making it ideal for adsorbing simple gas molecules and excluding larger hydrocarbons. This product is used in industries such as natural gas processing, LPG, and air treatment, as well as in the dehydration of refrigerants and air in vehicles. It is also utilized as a desiccant in the food, electronics, and pharmaceutical industries. ""Molecular Sieve 4A"" is manufactured in Henan, China, and can be regenerated to maintain its effectiveness."
